pl_name,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,sy_dist
HAT-P-38 b,0.0523,9.247,84.857,0.92,0.89,255.206
HAT-P-39 b,0.05095,17.609,180.84527,1.62,1.4,697.004
HAT-P-39 b,0.0509,17.609,190.372,1.62,1.4,697.004
HAT-P-4 b,0.04465,14.986,216.1244,1.6,1.27,320.451
HAT-P-4 b,0.0446,14.235,216.1244,1.59,1.26,320.451
HAT-P-4 b,0.04449,14.28,206.90733,1.6,1.25,320.451
HAT-P-40 b,0.0608,19.392,195.457,2.21,1.51,464.469
HAT-P-40 b,0.06076,19.392,184.65923,2.21,1.51,464.469
HAT-P-41 b,0.04258,18.887,252.67485,1.68,1.42,348.185
HAT-P-41 b,0.0426,18.887,254.253,1.68,1.42,348.185
HAT-P-42 b,0.0575,14.348,331.801,1.53,1.18,405.238
HAT-P-42 b,0.0575,14.348,279.6904,1.53,1.18,405.238
HAT-P-43 b,0.0443,14.359,210.395,1.1,1.05,528.825
HAT-P-43 b,0.04445,14.359,232.0159,1.1,1.05,528.825
HAT-P-44 b,0.0507,13.922,111.871,0.95,0.94,347.85
HAT-P-45 b,0.0452,15.984,283.492,1.32,1.26,298.64
HAT-P-45 b,0.04521,15.984,273.3338,1.32,1.26,298.64
HAT-P-46 b,0.0577,14.392,156.684,1.4,1.28,290.736
HAT-P-49 b,0.0438,15.838,549.823,1.83,1.54,350.351
HAT-P-49 b,0.04378,15.838,562.5591,1.83,1.54,350.351
HAT-P-5 b,0.04073,14.056,324.1866,1.17,1.16,303.336
HAT-P-5 b,0.04075,14.12,336.89,1.17,1.16,303.336
HAT-P-50 b,0.0453,14.437,429.0705,1.7,1.27,515.458
HAT-P-50 b,0.04527,14.437,431.93097,1.7,1.27,515.458
HAT-P-51 b,0.05067,14.493,98.84513,1.04,0.98,440.089
HAT-P-51 b,0.05069,14.493,98.20947,1.04,0.98,440.089
HAT-P-51 b,0.05042,13.507,97.57332,0.99,0.96,440.089
HAT-P-52 b,0.03694,11.31,259.98494,0.89,0.89,361.155
HAT-P-52 b,0.03696,11.31,259.66711,0.89,0.89,361.155
HAT-P-53 b,0.03159,14.773,471.65972,1.21,1.09,666.802
HAT-P-53 b,0.0316,14.773,469.43491,1.21,1.09,666.802
HAT-P-54 b,0.04122,10.581,578.4506,0.62,0.65,143.651
HAT-P-54 b,0.04117,10.581,241.5508,0.62,0.65,143.651
HAT-P-55 b,0.04604,13.249,184.3414,1.01,1.01,511.388
HAT-P-55 b,0.04604,13.249,184.97706,1.01,1.01,511.388
